ItemNum	Pic_Sent	Plaus_Implaus	Stimulus	List	agent	verb	patient	agent_start	agent_end	action_start	action_end	patient_start	patient_end
1	sent	plaus	The cop is arresting the criminal.	2	2	4	6	1	2	3	4	5	6
1	sent	implaus	The criminal is arresting the cop.	1	2	4	6	1	2	3	4	5	6
2	sent	plaus	The babysitter is scolding the child.	1	2	4	6	1	2	3	4	5	6
2	sent	implaus	The child is scolding the babysitter.	2	2	4	6	1	2	3	4	5	6
3	sent	plaus	The doctor is using a stethoscope on the patient.	2	2	6	9	1	2	3	7	8	9
3	sent	implaus	The patient is using a stethoscope on the doctor.	1	2	6	9	1	2	3	7	8	9
4	sent	plaus	The fireman is rescuing the grandmother.	1	2	4	6	1	2	3	4	5	6
4	sent	implaus	The grandmother is rescuing the fireman.	2	2	4	6	1	2	3	4	5	6
5	sent	plaus	The dentist is treating the patient.	2	2	4	6	1	2	3	4	5	6
5	sent	implaus	The patient is treating the dentist.	1	2	4	6	1	2	3	4	5	6
6	sent	plaus	The ghost is frightening the girl.	1	2	4	6	1	2	3	4	5	6
6	sent	implaus	The girl is frightening the ghost.	2	2	4	6	1	2	3	4	5	6
7	sent	plaus	The mother is feeding the baby.	2	2	4	6	1	2	3	4	5	6
7	sent	implaus	The baby is feeding the mother.	1	2	4	6	1	2	3	4	5	6
8	sent	plaus	The artist is painting the businessman.	1	2	4	6	1	2	3	4	5	6
8	sent	implaus	The businessman is painting the artist.	2	2	4	6	1	2	3	4	5	6
9	sent	plaus	The groom is carrying the bride.	2	2	4	6	1	2	3	4	5	6
9	sent	implaus	The bride is carrying the groom.	1	2	4	6	1	2	3	4	5	6
10	sent	plaus	The jester is entertaining the king.	1	2	4	6	1	2	3	4	5	6
10	sent	implaus	The king is entertaining the jester.	2	2	4	6	1	2	3	4	5	6
11	sent	plaus	The lion is pouncing on the Safari guide.	2	2	4	8	1	2	3	5	6	8
11	sent	implaus	The Safari guide is pouncing on the lion.	1	3	5	8	1	3	4	6	7	8
12	sent	plaus	The photographer is taking a picture of the model.	1	2	6	9	1	2	3	7	8	9
12	sent	implaus	The model is taking a picture of the photographer.	2	2	6	9	1	2	3	7	8	9
